Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 08.12.2023 18:21:58	Amount: 100
Date/Time: 08.12.2023 18:21:58	Amount: -50
Date/Time: 08.12.2023 18:21:58	Amount: 75
Date/Time: 08.12.2023 18:21:58	Amount: -50
Date/Time: 08.12.2023 18:21:58	Amount: -30
Date/Time: 08.12.2023 18:21:58	Amount: 40
Date/Time: 08.12.2023 18:21:58	Amount: 200
Date/Time: 08.12.2023 18:21:58	Amount: -250
Date/Time: 08.12.2023 18:21:58	Amount: 25
Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 08.12.2023 18:22:00	Amount: 100
Date/Time: 08.12.2023 18:22:00	Amount: -50
Date/Time: 08.12.2023 18:22:00	Amount: 75
Date/Time: 08.12.2023 18:22:00	Amount: -50
Date/Time: 08.12.2023 18:22:00	Amount: -30
Date/Time: 08.12.2023 18:22:00	Amount: 40
Date/Time: 08.12.2023 18:22:00	Amount: 200
Date/Time: 08.12.2023 18:22:00	Amount: -250
Date/Time: 08.12.2023 18:22:00	Amount: 25
Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 08.12.2023 18:25:31	Amount: 100
Date/Time: 08.12.2023 18:25:31	Amount: -50
Date/Time: 08.12.2023 18:25:31	Amount: 75
Date/Time: 08.12.2023 18:25:31	Amount: -50
Date/Time: 08.12.2023 18:25:31	Amount: -30
Date/Time: 08.12.2023 18:25:31	Amount: 40
Date/Time: 08.12.2023 18:25:31	Amount: 200
Date/Time: 08.12.2023 18:25:31	Amount: -250
Date/Time: 08.12.2023 18:25:31	Amount: 25
Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 08.12.2023 18:25:33	Amount: 100
Date/Time: 08.12.2023 18:25:33	Amount: -50
Date/Time: 08.12.2023 18:25:33	Amount: 75
Date/Time: 08.12.2023 18:25:33	Amount: -50
Date/Time: 08.12.2023 18:25:33	Amount: -30
Date/Time: 08.12.2023 18:25:33	Amount: 40
Date/Time: 08.12.2023 18:25:33	Amount: 200
Date/Time: 08.12.2023 18:25:33	Amount: -250
Date/Time: 08.12.2023 18:25:33	Amount: 25
Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 08.12.2023 18:26:11	Amount: 100
Date/Time: 08.12.2023 18:26:11	Amount: -50
Date/Time: 08.12.2023 18:26:11	Amount: 75
Date/Time: 08.12.2023 18:26:11	Amount: -50
Date/Time: 08.12.2023 18:26:11	Amount: -30
Date/Time: 08.12.2023 18:26:11	Amount: 40
Date/Time: 08.12.2023 18:26:11	Amount: 200
Date/Time: 08.12.2023 18:26:11	Amount: -250
Date/Time: 08.12.2023 18:26:11	Amount: 25
Account number is 123
Account balance is 60
Account type is Checking
Transactions:
Date/Time: 08.12.2023 18:27:30	Amount: 100
Date/Time: 08.12.2023 18:27:30	Amount: -50
Date/Time: 08.12.2023 18:27:30	Amount: 75
Date/Time: 08.12.2023 18:27:30	Amount: -50
Date/Time: 08.12.2023 18:27:30	Amount: -30
Date/Time: 08.12.2023 18:27:30	Amount: 40
Date/Time: 08.12.2023 18:27:30	Amount: 200
Date/Time: 08.12.2023 18:27:30	Amount: -250
Date/Time: 08.12.2023 18:27:30	Amount: 25
